id,Name,Date (UTC),Description,Url,Tax Code,plan (metadata),role (metadata)
prod_SznZr3CnTNxF50,Hero Family Pack Premium Subscription,2025-09-05 00:57, All Premium features + advocate communication hub + unlimited storage + priority support,,,,
prod_Sz4ZUeM9ZT5WA3,Agency+,2025-09-03 02:27,Great for Teams + AI Credits + Training Hub + Premium Support,,,,
prod_SnqU8OF9PI372q,Hero Family Pack Professional Setup,2025-08-04 03:10,"Professional setup (IEP review, strategy call, advocate matching, training)",,,,
prod_SmcyWHzEYUieJO,Advocate Agency,2025-07-31 21:09,Advocate Agency Plan,,,agency,advocate
prod_SmcxRYlzNOsgmq,Advocate Pro,2025-07-31 21:07,Advocate Pro Plan,,,pro,advocate
prod_SmcwDAutQFffU5,Advocate Starter,2025-07-31 21:06,Advocate Starter Plan,,,starter,advocate
prod_SmctaBSSO9nsbc,Parent Premium,2025-07-31 21:04,Parent Premium Plan,,,premium,parent
prod_SmcsKIZkLr1xUs,Parent Plus,2025-07-31 21:02,Parent Plus Plan,,,plus,parent
prod_SmcrtMVtM3cq3t,Parent Basic,2025-07-31 21:01,Parent Basic Plan,,,basic,parent
